id,name,urban_rural,population
175109001,Batong Buhay,Rural,4044
175109002,Buenavista,Urban,8758
175109003,Burgos,Rural,2316
175109004,Claudio Salgado,Rural,3899
175109005,General Emilio Aguinaldo,Rural,2229
175109006,Ibud,Rural,1488
175109007,Ilvita,Rural,3125
175109008,Ligaya,Rural,6435
175109009,Poblacion (Lumangbayan),Urban,6741
175109010,Paetan,Rural,1354
175109011,Pag-Asa,Rural,5452
175109013,San Agustin,Rural,1529
175109014,San Francisco,Rural,2864
175109016,San Nicolas,Rural,1624
175109017,San Vicente,Rural,4250
175109018,Santa Lucia,Rural,4528
175109019,Santo Niño,Urban,5064
175109020,Tagumpay,Rural,1618
175109021,Victoria,Rural,1323
175109022,Lagnas,Rural,1733
175109023,Malisbong,Rural,3134
175109024,Tuban,Rural,2645
