id,name,urban_rural,population
098310002,Bateria,Rural, 902 
098310003,Kahayagan,Rural, 801 
098310005,Calais (Kalines),Rural, 1740 
098310006,Esperanza,Rural, 921 
098310007,Fama,Rural, 1200 
098310009,Galas,Rural, 1422 
098310010,Gandaan,Rural, 1056 
098310012,Looc Sapi,Rural, 935 
098310014,Matim,Rural, 821 
098310015,Noque,Rural, 803 
098310016,Solar (Pob.),Urban, 8106 
098310017,Pulo Laum,Rural, 1202 
098310018,Pulo Mabao,Rural, 2205 
098310019,San Isidro,Rural, 690 
098310020,Santa Maria,Rural, 905 
098310024,Tambanan,Rural, 1800 
098310025,Villacorte,Rural, 1275 
098310026,Villagonzalo,Rural, 899 
098310027,San Jose,Rural, 1034 
