id,name,urban_rural,population
098301001,Alegria,Rural, 710 
098301002,Milagrosa (Baluno),Rural, 1157 
098301004,Bella,Rural, 1378 
098301005,Calades,Rural, 939 
098301006,Dawa-dawa,Rural, 2320 
098301007,Gulayon,Rural, 1276 
098301008,Ilisan,Rural, 604 
098301009,Kawayan,Rural, 2160 
098301010,Kauswagan,Rural, 701 
098301011,La Paz,Rural, 1476 
098301012,Lambuyogan,Rural, 1196 
098301013,Lapirawan,Rural, 734 
098301014,Litayon,Rural, 1059 
098301015,Lutiman,Rural, 1630 
098301016,Naga-naga,Rural, 1648 
098301017,Pandan-pandan,Rural, 998 
098301018,Payongan,Rural, 1097 
098301019,Poblacion,Urban, 4026 
098301020,Santa Maria,Rural, 1396 
098301021,Santo Niño,Rural, 1401 
098301022,Talaptap,Rural, 1378 
098301023,Tampalan,Rural, 723 
098301024,Tandiong Muslim,Rural, 910 
098301025,Timbang-timbang,Rural, 1388 
098301026,Bagong Buhay,Rural, 389 
098301027,Concepcion,Rural, 1523 
098301028,Kapatagan,Rural, 678 
