id,name,urban_rural,population
098315001,Achasol,Rural, 1859 
098315002,Bangco,Rural, 1551 
098315003,Camanga,Rural, 1041 
098315004,Culasian,Rural, 1186 
098315005,Dalangin,Rural, 2577 
098315007,Dalisay,Rural, 1498 
098315008,Gomotoc,Rural, 881 
098315009,Imelda (Upper Camanga),Rural, 1094 
098315010,Kipit,Rural, 1678 
098315011,Kitabog,Rural, 3664 
098315012,La Libertad,Rural, 591 
098315013,Longilog,Rural, 852 
098315014,Mabini,Rural, 1197 
098315015,Malagandis,Rural, 1315 
098315016,Mate,Rural, 925 
098315017,Moalboal,Rural, 547 
098315018,Namnama,Rural, 2077 
098315019,New Canaan,Rural, 660 
098315020,Palomoc,Rural, 2750 
098315021,Poblacion (Titay),Urban, 6764 
098315023,Pulidan,Rural, 1219 
098315024,San Antonio,Rural, 3241 
098315025,Santa Fe,Rural, 1474 
098315026,Supit,Rural, 919 
098315027,Tugop,Rural, 1020 
098315028,Tugop Muslim,Rural, 509 
098315029,Dalangin Muslim,Rural, 560 
098315030,Poblacion Muslim,Rural, 759 
098315031,Azusano,Rural, 944 
098315032,San Isidro,Rural, 1104 
