id,name,urban_rural,population
060404001,Ambolong,Rural,2047 
060404002,Angas,Rural,1456 
060404003,Bay-ang,Rural,2096 
060404004,Caiyang,Rural,832 
060404005,Cabugao,Rural,1948 
060404006,Camaligan,Rural,2616 
060404007,Camanci,Rural,2544 
060404008,Ipil,Rural,504 
060404009,Lalab,Rural,2820 
060404010,Lupit,Rural,1593 
060404011,Magpag-ong,Rural,1432 
060404012,Magubahay,Rural,596 
060404013,Mambuquiao,Rural,1418 
060404014,Man-up,Rural,911 
060404015,Mandong,Rural,1525 
060404016,Napti,Rural,1011 
060404017,Palay,Rural,1453 
060404018,Poblacion,Urban,1547 
060404019,Songcolan,Rural,1122 
060404020,Tabon,Rural,841 
