id,name,urban_rural,population
184527001,Barangay 1 (Pob.),Rural,492 
184527002,Barangay 2 (Pob.),Urban,4282 
184527003,Barangay 3 (Pob.),Rural,1747 
184527004,Barangay 4 (Pob.),Rural,2237 
184527005,Barangay 5 (Pob.),Urban,2983 
184527006,Cabadiangan,Rural,3416 
184527007,Camindangan,Rural,6278 
184527008,Canturay,Rural,4365 
184527009,Cartagena,Rural,4093 
184527010,Cayhagan,Rural,3469 
184527011,Gil Montilla,Rural,6079 
184527012,Mambaroto,Rural,3349 
184527013,Manlucahoc,Rural,5235 
184527014,Maricalum,Rural,4211 
184527015,Nabulao,Rural,6620 
184527016,Nauhang,Rural,1738 
184527017,San Jose,Urban,6809 
