id,name,urban_rural,population
184523001,Andres Bonifacio,Rural,3915 
184523002,Bato,Rural,6124 
184523003,Baviera,Rural,2564 
184523004,Bulanon,Rural,7362 
184523005,Campo Himoga-an,Rural,2089 
184523006,Campo Santiago,Rural,2789 
184523007,Colonia Divina,Rural,3007 
184523008,Fabrica,Rural,4962 
184523009,General Luna,Rural,3743 
184523010,Himoga-an Baybay,Rural,7301 
184523011,Lopez Jaena,Rural,5428 
184523012,Malubon,Rural,4216 
184523013,Makiling,Rural,4516 
184523014,Molocaboc,Rural,4241 
184523015,Old Sagay,Rural,12521 
184523016,Paraiso,Urban,16190 
184523017,Plaridel,Rural,2624 
184523018,Poblacion I (Barangay 1),Urban,10425 
184523019,Poblacion II (Barangay 2),Urban,9813 
184523020,Puey,Rural,3284 
184523021,Rizal,Rural,4935 
184523022,Taba-ao,Rural,5138 
184523023,Tadlong,Rural,3302 
184523025,Vito,Rural,6373 
184523026,Rafaela Barrera,Rural,3878 
