id,name,urban_rural,population
184502001,Abuanan,Rural,5441 
184502002,Alianza,Rural,2847 
184502003,Atipuluan,Rural,4240 
184502004,Bacong-Montilla,Rural,7508 
184502005,Bagroy,Rural,1494 
184502006,Balingasag,Rural,4136 
184502007,Binubuhan,Rural,5281 
184502008,Busay,Rural,6289 
184502009,Calumangan,Rural,7805 
184502010,Caridad,Rural,3851 
184502011,Dulao,Rural,8819 
184502012,Ilijan,Rural,3005 
184502013,Lag-Asan,Rural,10629 
184502014,Ma-ao Barrio,Rural,15525 
184502015,Jorge L. Araneta (Ma-ao Central),Rural,10358 
184502016,Mailum,Rural,8572 
184502017,Malingin,Rural,6367 
184502018,Napoles,Rural,6162 
184502019,Pacol,Urban,3643 
184502020,Poblacion,Urban,10832 
184502021,Sagasa,Rural,4530 
184502022,Tabunan,Rural,5688 
184502023,Taloc,Rural,13976 
184502024,Sampinit,Rural,6047 
