id,name,urban_rural,population
051737001,Agay-Ayan,Rural,1509 
051737002,Antipolo,Urban,1807 
051737003,Bagacay,Urban,3045 
051737004,Banga,Rural,863 
051737005,Bolaobalite,Rural,1797 
051737006,Bani,Rural,736 
051737007,Bataan,Rural,944 
051737008,Binalay,Rural,1870 
051737009,Buenavista,Rural,2071 
051737010,Buyo,Rural,1576 
051737011,Cagliliog,Rural,2946 
051737012,Caloco,Rural,948 
051737013,Camagong,Rural,669 
051737014,Canayonan,Rural,1661 
051737015,Cawaynan,Rural,1689 
051737016,Daligan,Rural,1013 
051737017,Filarca (Pob.),Urban,964 
051737018,La Purisima (Pob.),Urban,466 
051737019,Lupi,Rural,1827 
051737020,Magsaysay (Camp 4),Rural,1375 
051737021,Magtang,Rural,665 
051737022,Mananao,Rural,1709 
051737023,La Medalla (Mile 9),Rural,549 
051737024,New Caaluan,Rural,451 
051737025,Olag Grande,Rural,529 
051737026,Olag Pequeño,Rural,1251 
051737027,Old Caaluan,Rural,182 
051737028,Pag-Asa,Rural,941 
051737029,Pantat,Rural,1268 
051737030,Sagrada (Camp 6),Rural,1214 
051737031,Salvacion,Rural,1313 
051737032,San Antonio,Rural,988 
051737033,San Isidro (Pob.),Rural,484 
051737034,San Jose (Tiltilan),Rural,641 
051737035,San Pascual (Pob.),Urban,1330 
051737036,San Ramon (Camp 7),Rural,1512 
051737037,San Roque,Rural,859 
051737038,San Vicente,Rural,548 
051737039,Santa Cruz (Pob.),Urban,2907 
051737040,Sogod,Urban,3202 
051737041,Tambang,Urban,4923 
051737042,Tierra Nevada,Rural,2149 
051737043,Union,Rural,819 
051737044,Salvacion Poblacion,Urban,2225 
