id,name,urban_rural,population
051730001,Agao-ao,Rural,379 
051730002,Agrupacion,Rural,1653 
051730003,Amomokpok,Rural,1497 
051730004,Apad,Rural,2626 
051730005,Apale,Rural,651 
051730006,Banga Caves,Rural,2323 
051730007,Baya,Rural,1615 
051730008,Binahan Proper,Rural,1658 
051730009,Binahan Upper,Rural,1603 
051730010,Buenasuerte,Rural,1585 
051730011,Cabadisan,Rural,644 
051730012,Cabinitan,Rural,749 
051730013,Cabugao,Rural,1054 
051730014,Caditaan,Rural,937 
051730015,Cale,Rural,1119 
051730016,Godofredo Reyes Sr. (Catabangan Crossing),Rural,3485 
051730017,Catabangan Proper,Rural,1957 
051730018,Inandawa,Rural,610 
051730019,Laguio,Rural,1589 
051730020,Lanipga-Cawayan,Rural,894 
051730021,Liboro,Urban,3279 
051730022,Lohong,Rural,1042 
051730023,Lower Omon,Rural,1447 
051730024,Lower Santa Cruz,Rural,1409 
051730026,Panaytayan,Rural,2080 
051730027,Panaytayan Nuevo,Rural,718 
051730028,Patalunan,Rural,782 
051730029,Poblacion Ilaod,Urban,2013 
051730030,Poblacion Iraya,Urban,1636 
051730031,Port Junction Norte,Rural,1053 
051730032,Port Junction Sur,Rural,741 
051730034,Salvacion,Rural,1522 
051730035,Samay,Rural,782 
051730036,San Rafael,Rural,1824 
051730037,F. Simeon (Pugod),Rural,2865 
051730038,Tagbac,Rural,1460 
051730039,Upper Omon,Rural,656 
051730040,Upper Santa Cruz,Rural,997 
