id,name,urban_rural,population
051728001,Anayan,Rural,2715 
051728002,Bagong Sirang,Rural,2534 
051728003,Binanwaanan,Rural,3514 
051728004,Binobong,Rural,2307 
051728005,Cadlan,Urban,4102 
051728006,Caroyroyan,Rural,5282 
051728007,Curry,Rural,2187 
051728008,Del Rosario,Rural,2920 
051728009,Himaao,Rural,4239 
051728010,La Purisima,Rural,2761 
051728011,New San Roque,Urban,3199 
051728012,Old San Roque (Pob.),Urban,1360 
051728013,Palestina,Rural,5785 
051728014,Pawili,Rural,2058 
051728015,Sagurong,Rural,2605 
051728016,Sagrada,Rural,2793 
051728017,San Agustin,Urban,4424 
051728018,San Antonio (Pob.),Urban,1293 
051728019,San Isidro (Pob.),Urban,2149 
051728020,San Jose,Rural,11431 
051728021,San Juan (Pob.),Urban,1882 
051728022,San Vicente (Pob.),Urban,2222 
051728023,Santiago (Pob.),Urban,2543 
051728024,Santo Niño,Rural,1212 
051728025,Tagbong,Rural,2749 
051728026,Tinangis,Rural,2041 
