id,name,urban_rural,population
023104001,Andabuen,Rural,2292
023104002,Ara,Rural,551
023104003,Binogtungan,Rural,311
023104004,Capuseran (Capurocan),Rural,803
023104005,Dagupan,Rural,269
023104006,Danipa,Rural,459
023104007,District II (Pob.),Urban,1966
023104008,Gomez,Rural,575
023104009,Guilingan,Rural,418
023104010,La Salette,Rural,498
023104011,Makindol,Rural,494
023104012,Maluno Norte,Rural,1148
023104013,Maluno Sur,Urban,1185
023104014,Nacalma,Rural,828
023104015,New Magsaysay,Rural,845
023104016,District I (Pob.),Urban,3407
023104017,Punit,Rural,771
023104018,San Carlos,Rural,578
023104019,San Francisco,Rural,528
023104021,Santa Cruz,Rural,1064
023104022,Sevillana,Rural,304
023104023,Sinipit,Rural,383
023104024,Lucban,Rural,412
023104025,Villaluz,Rural,2019
023104026,Yeban Norte,Rural,2190
023104027,Yeban Sur,Rural,1537
023104028,Santiago,Rural,438
023104029,Placer,Rural,476
023104030,Balliao,Rural,588
