id,name,urban_rural,population
023130001,Agliam,Rural,391
023130002,Babanuang,Rural,2482
023130003,Cabaritan,Rural,726
023130004,Caraniogan,Rural,877
023130006,Eden,Rural,2068
023130007,Malalinta,Rural,1726
023130008,Mararigue,Rural,1316
023130009,Nueva Era,Rural,1826
023130010,Pisang,Rural,609
023130011,District 1 (Pob.),Rural,2831
023130012,District 2 (Pob.),Urban,2322
023130013,District 3 (Pob.),Urban,2651
023130014,District 4 (Pob.),Rural,2241
023130015,San Francisco,Rural,558
023130016,Sandiat Centro,Rural,1678
023130017,Sandiat East,Rural,1265
023130018,Sandiat West,Rural,2010
023130019,Santa Cruz,Rural,1333
023130020,Villanueva,Urban,1497
