id,name,urban_rural,population
023101001,Amistad,Rural,1573
023101002,Antonino (Pob.),Urban,3997
023101003,Apanay,Rural,1146
023101004,Aurora,Rural,3460
023101005,Bagnos,Rural,2250
023101006,Bagong Sikat,Rural,821
023101007,Bantug-Petines,Urban,2019
023101008,Bonifacio,Rural,878
023101009,Burgos,Urban,2041
023101010,Calaocan (Pob.),Rural,3325
023101011,Callao,Rural,1884
023101012,Dagupan,Rural,1167
023101013,Inanama,Rural,1104
023101014,Linglingay,Rural,2286
023101015,M.H. del Pilar,Rural,3749
023101016,Mabini,Urban,1439
023101017,Magsaysay (Pob.),Urban,1332
023101018,Mataas na Kahoy,Rural,650
023101019,Paddad,Rural,5033
023101020,Rizal,Rural,3760
023101021,Rizaluna,Rural,1568
023101022,Salvacion,Rural,1542
023101023,San Antonio (Pob.),Urban,2058
023101024,San Fernando,Rural,1373
023101025,San Francisco,Rural,1224
023101026,San Juan,Rural,1704
023101027,San Pablo,Rural,994
023101028,San Pedro,Rural,2000
023101029,Santa Cruz,Rural,1993
023101030,Santa Maria,Rural,573
023101031,Santo Domingo,Rural,1398
023101032,Santo Tomas,Rural,1890
023101033,Victoria,Rural,1550
023101034,Zamora,Rural,906
