id,name
023101000,ALICIA
023102000,ANGADANAN
023103000,AURORA
023104000,BENITO SOLIVEN
023105000,BURGOS
023106000,CABAGAN
023107000,CABATUAN
023109000,CORDON
023110000,DINAPIGUE
023111000,DIVILACAN
023112000,ECHAGUE
023113000,GAMU
023114000,ILAGAN (Capital)
023115000,JONES
023116000,LUNA
023117000,MACONACON
023118000,DELFIN ALBANO (MAGSAYSAY)
023119000,MALLIG
023120000,NAGUILIAN
023121000,PALANAN
023122000,QUEZON
023123000,QUIRINO
023124000,RAMON
023125000,REINA MERCEDES
023126000,ROXAS
023127000,SAN AGUSTIN
023128000,SAN GUILLERMO
023129000,SAN ISIDRO
023130000,SAN MANUEL
023131000,SAN MARIANO
023132000,SAN MATEO
023133000,SAN PABLO
023134000,SANTA MARIA
023136000,SANTO TOMAS
023137000,TUMAUINI
