id,name,urban_rural,population
030811001,Ala-uli,Urban,3895 
030811003,Bagumbayan,Rural,1370 
030811005,Balut I,Rural,1259 
030811006,Balut II,Rural,1311 
030811007,Bantan Munti,Rural,550 
030811009,Burgos,Rural,1166 
030811011,Del Rosario (Pob.),Urban,1886 
030811012,Diwa,Rural,2253 
030811013,Landing,Rural,1246 
030811014,Liyang,Urban,1839 
030811016,Nagwaling,Urban,2568 
030811019,Panilao,Rural,5250 
030811020,Pantingan,Rural,1282 
030811021,Poblacion,Urban,1346 
030811022,Rizal (Pob.),Urban,1082 
030811023,Santa Rosa,Rural,6549 
030811025,Wakas North,Urban,1501 
030811026,Wakas South,Urban,1497 
030811027,Wawa,Urban,1937 
