id,name,urban_rural,population
126505001,Bantogon (Santa Clara),Rural,4854
126505004,Cadiz,Rural,2121
126505006,Dumangas Nuevo,Rural,1848
126505007,Hinalaan,Rural,2873
126505011,Limulan,Rural,2543
126505013,Obial,Rural,3208
126505014,Paril,Rural,1714
126505015,Poblacion,Urban,6719
126505016,Sangay,Rural,2953
126505017,Santa Maria,Rural,2028
126505018,Datu Ito Andong,Rural,3087
126505019,Datu Wasay,Rural,2565
126505020,Nalilidan,Rural,3093
126505021,Sabanal,Rural,2398
126505022,Pag-asa,Rural,4404
