id,name,urban_rural,population
184613001,Aniniaw,Rural,1106
184613002,Aya,Rural,953
184613003,Bagtic,Rural,1344
184613004,Biga-a,Rural,1101
184613005,Busilak,Rural,1176
184613006,Cangabo,Rural,1245
184613007,Cantupa,Rural,1048
184613008,Eli,Rural,1273
184613009,Guihob,Rural,2048
184613010,Kansumandig,Rural,1242
184613011,Mambulod,Rural,632
184613012,Mandapaton,Rural,1927
184613013,Manghulyawon,Rural,1398
184613014,Manluminsag,Rural,776
184613015,Mapalasan,Rural,557
184613016,Maragondong,Rural,930
184613017,Martilo,Rural,2038
184613018,Nasungan,Rural,1558
184613019,Pacuan,Rural,2478
184613020,Pangca,Rural,652
184613021,Pisong,Rural,1325
184613022,Pitogo,Rural,1216
184613023,Poblacion North,Urban,2319
184613024,Poblacion South,Urban,1338
184613025,San Jose,Rural,1703
184613026,Solongon,Rural,2235
184613027,Tala-on,Rural,806
184613028,Talayong,Rural,919
184613029,Elecia (Talostos),Rural,1561
