id,name,urban_rural,population
061913001,Aranguel,Rural,1233 
061913002,Badiangon,Rural,1948 
061913003,Bayuyan,Rural,981 
061913004,Cabugcabug,Rural,1500 
061913005,Carmencita,Rural,822 
061913006,Cubay,Rural,951 
061913007,Culilang,Rural,356 
061913008,Goce,Rural,940 
061913009,Hanglid,Rural,1515 
061913010,Ibaca,Rural,1481 
061913011,Madulano,Rural,852 
061913012,Manoling,Rural,837 
061913013,Marita,Rural,1594 
061913014,Pandan,Rural,490 
061913015,Pantalan Cabugcabug,Rural,1842 
061913016,Pinamihagan,Rural,282 
061913017,Poblacion (Elizalde),Urban,6719 
061913018,Pondol,Rural,874 
061913019,Quiajo,Rural,608 
061913020,Sangkal,Rural,443 
061913021,Santo Niño,Rural,243 
061913022,Vizcaya,Rural,2050 
