id,name,urban_rural,population
052006001,Bagawang,Rural,899 
052006002,Balagñonan,Rural,977 
052006003,Baldoc,Rural,747 
052006004,Canlubi,Rural,457 
052006005,Santa Cruz (Catagbacan),Rural,424 
052006006,Catamban,Rural,591 
052006007,Cobo,Rural,852 
052006009,Hiyop,Rural,431 
052006010,Libod (Pob.),Urban,1565 
052006011,Lourdes,Rural,495 
052006012,Lumabao,Rural,624 
052006013,Marambong,Rural,731 
052006014,Napo (Pob.),Urban,1439 
052006015,Oga,Rural,1050 
052006016,Pandan Del Norte (Pob.),Rural,946 
052006017,Pandan Del Sur (Pob.),Rural,912 
052006018,Panuto,Rural,422 
052006019,Salvacion (Tariwara),Rural,1147 
052006020,San Andres (Dinungsuran),Rural,660 
052006021,San Isidro (Langob),Rural,318 
052006022,Porot (San Jose),Rural,692 
052006023,San Rafael (Bogtong),Rural,253 
052006024,San Roque,Rural,659 
052006025,Tabugoc,Rural,791 
052006026,Tokio,Rural,664 
052006027,Wagdas,Rural,647 
