id,name,urban_rural,population
021517001,Aggunetan,Rural,1143
021517002,Alannay,Rural,2027
021517003,Battalan,Rural,1138
021517005,Calapangan Norte,Rural,838
021517006,Calapangan Sur,Rural,779
021517007,Callao Norte,Rural,897
021517008,Callao Sur,Rural,897
021517009,Cataliganan,Rural,362
021517010,Finugo Norte,Rural,528
021517012,Gabun,Rural,1134
021517013,Ignacio Jurado (Finugu Sur),Rural,1540
021517014,Magsaysay,Rural,1439
021517015,Malinta,Rural,1079
021517016,Minanga Sur,Rural,751
021517017,Minanga Norte,Rural,428
021517019,Nicolas Agatep,Rural,899
021517020,Peru,Rural,1716
021517021,Centro I (Pob.),Urban,1896
021517022,San Pedro,Rural,1739
021517023,Sicalao,Rural,1519
021517024,Tagao,Rural,382
021517025,Tucalan Passing,Rural,848
021517026,Viga,Rural,720
021517027,Cabatacan East (Duldugan*),Rural,1832
021517028,Cabatacan West,Rural,1417
021517029,Nabannagan East,Rural,1211
021517030,Nabannagan West,Rural,2604
021517031,Centro II (Pob.),Urban,2236
021517032,Centro III (Pob.),Urban,1889
021517033,New Orlins,Rural,1106
