id,name,urban_rural,population
021505001,Backiling,Rural,1194
021505002,Bangag,Rural,1612
021505003,Binalan,Rural,2104
021505004,Bisagu,Rural,1517
021505005,Centro 1 (Pob.),Urban,981
021505006,Centro 2 (Pob.),Rural,388
021505007,Centro 3 (Pob.),Rural,56
021505008,Centro 4 (Pob.),Rural,131
021505009,Centro 5 (Pob.),Rural,183
021505010,Centro 6 (Pob.),Rural,260
021505011,Centro 7 (Pob.),Rural,296
021505012,Centro 8 (Pob.),Rural,172
021505013,Centro 9 (Pob.),Urban,1044
021505014,Centro 10 (Pob.),Rural,132
021505015,Centro 11 (Pob.),Rural,217
021505016,Centro 12 (Pob.),Rural,137
021505017,Centro 13 (Pob.),Rural,134
021505018,Centro 14 (Pob.),Rural,280
021505019,Bukig,Rural,797
021505020,Bulala Norte,Rural,808
021505021,Bulala Sur,Rural,808
021505022,Caagaman,Rural,1447
021505023,Centro 15 (Pob.),Rural,8
021505024,Dodan,Rural,2182
021505025,Fuga Island,Rural,1884
021505026,Gaddang,Rural,1976
021505027,Linao,Rural,1533
021505028,Mabanguc,Rural,1010
021505029,Macanaya (Pescaria),Rural,5121
021505030,Maura,Urban,6256
021505031,Minanga,Rural,1631
021505032,Navagan,Rural,962
021505033,Paddaya,Rural,3374
021505034,Paruddun Norte,Rural,1469
021505035,Paruddun Sur,Rural,1075
021505036,Plaza,Rural,786
021505037,Punta,Rural,4437
021505038,San Antonio,Rural,3824
021505039,Tallungan,Rural,3285
021505040,Toran,Rural,3131
021505041,Sanja,Rural,1553
021505042,Zinarag,Rural,1004
