id,name,urban_rural,population
021514001,Amunitan,Rural,1532
021514002,Batangan,Rural,1858
021514003,Baua,Rural,2030
021514004,Cabanbanan Norte,Rural,597
021514005,Cabanbanan Sur,Rural,542
021514006,Cabiraoan,Rural,3175
021514007,Callao,Rural,373
021514008,Calayan,Rural,1724
021514009,Caroan,Rural,988
021514010,Casitan,Rural,807
021514011,Flourishing (Pob.),Rural,1897
021514012,Ipil,Rural,1903
021514013,Isca,Rural,1163
021514014,Magrafil,Rural,1030
021514015,Minanga,Rural,1533
021514016,Rebecca (Nagbabalacan*),Rural,960
021514017,Paradise (Pob.),Rural,1599
021514018,Pateng,Rural,1090
021514019,Progressive (Pob.),Rural,2225
021514020,San Jose,Rural,1379
021514021,Santa Clara,Rural,1731
021514022,Santa Cruz,Rural,862
021514023,Santa Maria,Rural,1254
021514024,Smart (Pob.),Urban,1377
021514025,Tapel,Urban,2674
