id,name,urban_rural,population
021501001,Alinunu,Rural,1269
021501002,Bagu,Rural,1774
021501003,Banguian,Rural,1778
021501004,Calog Norte,Rural,934
021501005,Calog Sur,Rural,2309
021501006,Canayun,Rural,1328
021501007,Centro (Pob.),Urban,2400
021501008,Dana-Ili,Rural,1201
021501009,Guiddam,Rural,3084
021501010,Libertad,Rural,3219
021501011,Lucban,Rural,2646
021501012,Pinili,Rural,683
021501013,Santa Filomena,Rural,1053
021501014,Santo Tomas,Rural,884
021501015,Siguiran,Rural,1258
021501016,Simayung,Rural,1321
021501017,Sirit,Rural,792
021501018,San Agustin,Rural,771
021501019,San Julian,Rural,627
021501020,Santa Rosa,Rural,1344
