id,name,urban_rural,population
144410002,Balaoa,Rural,1157
144410003,Banaao,Rural,885
144410004,Bantey,Rural,695
144410005,Batayan,Rural,713
144410006,Bunga,Rural,732
144410007,Cadad-anan,Rural,1234
144410008,Cagubatan,Rural,934
144410009,Duagan,Rural,287
144410010,Dacudac,Rural,1888
144410011,Kayan East,Rural,896
144410012,Lenga,Rural,715
144410013,Lubon,Rural,2073
144410014,Mabalite,Rural,491
144410015,Masla,Rural,1265
144410016,Pandayan,Rural,948
144410017,Poblacion,Urban,3194
144410018,Sumadel,Rural,752
144410019,Tue,Rural,881
144410020,Kayan West,Rural,949
