id,name,urban_rural,population
012822001,Aguitap,Rural,841 
012822002,Bagbag,Rural,617 
012822003,Bagbago,Rural,1105 
012822004,Barcelona,Rural,1281 
012822005,Bubuos,Rural,775 
012822006,Capurictan,Rural,1065 
012822007,Catangraran,Rural,1270 
012822008,Darasdas,Rural,1419 
012822009,Juan (Pob.),Urban,2325 
012822010,Laureta (Pob.),Urban,1328 
012822011,Lipay,Rural,365 
012822012,Maananteng,Rural,1181 
012822013,Manalpac,Rural,1949 
012822014,Mariquet,Rural,1157 
012822015,Nagpatpatan,Rural,684 
012822016,Nalasin,Rural,708 
012822017,Puttao,Rural,1053 
012822018,San Juan,Rural,501 
012822019,San Julian,Rural,262 
012822020,Santa Ana,Rural,1212 
012822021,Santiago,Rural,901 
012822022,Talugtog,Rural,991 
