id,name,urban_rural,population
012803001,Alay-Nangbabaan (Alay 15-B),Rural,1049 
012803002,Alogoog,Urban,920 
012803003,Ar-arusip,Rural,872 
012803004,Aring,Rural,1328 
012803005,Balbaldez,Rural,328 
012803006,Bato,Rural,975 
012803007,Camanga,Rural,1087 
012803008,Canaan (Pob.),Rural,570 
012803009,Caraitan,Rural,1273 
012803011,Gabut Norte,Rural,1398 
012803012,Gabut Sur,Rural,997 
012803013,Garreta (Pob.),Urban,1343 
012803016,Labut,Rural,759 
012803017,Lacuben,Rural,1327 
012803018,Lubigan,Rural,1186 
012803020,Mabusag Norte,Rural,1155 
012803021,Mabusag Sur,Rural,1165 
012803022,Madupayas,Rural,848 
012803023,Morong,Rural,785 
012803025,Nagrebcan,Rural,490 
012803026,Napu,Rural,1495 
012803027,La Virgen Milagrosa (Paguetpet),Rural,1037 
012803028,Pagsanahan Norte,Rural,1076 
012803029,Pagsanahan Sur,Rural,1146 
012803030,Paltit,Rural,1528 
012803031,Parang,Rural,392 
012803032,Pasuc,Rural,502 
012803034,Santa Cruz Norte,Rural,1048 
012803035,Santa Cruz Sur,Rural,685 
012803036,Saud,Rural,1166 
012803037,Turod,Rural,778 
