id,name,urban_rural,population
034915001,A. Bonifacio,Rural,2437
034915002,Caridad Norte,Rural,1011
034915003,Caridad Sur,Rural,1271
034915004,Casile,Rural,1877
034915005,Florida Blanca,Rural,780
034915006,General Luna,Rural,2674
034915008,General Ricarte,Rural,2096
034915009,Gomez,Rural,970
034915010,Inanama,Rural,1150
034915011,Ligaya,Rural,641
034915012,Mabini,Rural,1267
034915013,Murcon,Rural,2071
034915015,Plaridel,Rural,3188
034915016,Bagumbayan (Pob.),Urban,3011
034915018,San Felipe,Rural,1891
034915019,San Francisco,Rural,2110
034915020,San Nicolas,Rural,395
034915021,San Vicente,Rural,1091
034915022,Santa Barbara,Rural,1575
034915023,Victoria,Urban,2865
034915024,Villa Viniegas,Rural,1148
034915025,Bosque,Rural,681
