id,name,urban_rural,population
034906001,Baloy,Rural,2615
034906002,Bambanaba,Rural,1898
034906003,Bantug,Rural,546
034906004,Bentigan,Rural,1295
034906005,Bibiclat,Rural,1113
034906006,Bonifacio,Rural,1397
034906007,Bued,Rural,474
034906008,Bulala,Rural,1031
034906009,Burgos,Rural,1509
034906010,Cabileo,Rural,1086
034906011,Cabatuan,Rural,690
034906012,Cacapasan,Rural,571
034906013,Calancuasan Norte,Rural,878
034906014,Calancuasan Sur,Rural,1474
034906015,Colosboa,Rural,583
034906016,Columbitin,Rural,539
034906017,Curva,Rural,806
034906018,District I (Pob. I),Rural,802
034906019,District II (Pob. II),Rural,1306
034906021,District IV (Pob. IV),Urban,1365
034906022,District V (Pob. V),Urban,910
034906023,District VI (Pob. VI),Urban,1628
034906024,District VII (Pob. VII),Rural,699
034906025,District VIII (Pob. VIII),Rural,1084
034906026,Landig,Rural,752
034906027,Latap,Rural,1801
034906028,Loob,Rural,1022
034906029,Luna,Rural,1292
034906030,Malbeg-Patalan,Rural,567
034906031,Malineng,Rural,1504
034906032,Matindeg,Rural,614
034906033,Maycaban,Rural,1442
034906034,Nacuralan,Rural,1166
034906035,Nagmisahan,Rural,1502
034906036,Paitan Norte,Rural,1689
034906037,Paitan Sur,Rural,877
034906038,Piglisan,Rural,1063
034906039,Pugo,Rural,584
034906040,Rizal,Rural,784
034906041,Sabit,Rural,1407
034906042,Salagusog,Rural,1206
034906043,San Antonio,Rural,3773
034906044,San Jose,Rural,1196
034906045,San Juan,Rural,475
034906046,Santa Clara,Rural,1594
034906047,Santa Cruz,Rural,1055
034906048,Sinimbaan,Rural,1053
034906049,Tagtagumbao,Rural,916
034906050,Tutuloy,Rural,885
034906051,Ungab,Rural,1685
034906052,Villaflores,Rural,1193
