id,name,urban_rural,population
072211001,Cogon (Pob.),Urban,2852
072211002,Anonang Norte,Urban,1390
072211003,Anonang Sur,Urban,1346
072211004,Banban,Urban,2136
072211005,Binabag,Urban,1904
072211006,Bungtod (Pob.),Urban,1925
072211007,Carbon (Pob.),Urban,392
072211008,Cayang,Urban,3360
072211009,Dakit,Urban,4688
072211010,Don Pedro Rodriguez,Urban,3395
072211011,Gairan,Rural,8721
072211012,Guadalupe,Rural,3165
072211013,La Paz,Urban,3084
072211014,La Purisima Concepcion (Pob.),Urban,958
072211015,Libertad,Rural,3694
072211016,Lourdes (Pob.),Urban,495
072211017,Malingin,Urban,2784
072211018,Marangog,Rural,1697
072211019,Nailon,Urban,4896
072211020,Odlot,Rural,2328
072211021,Pandan (Pandan Heights),Urban,1425
072211022,Polambato,Urban,3052
072211023,Sambag (Pob.),Urban,1850
072211024,San Vicente (Pob.),Urban,675
072211025,Santo Niño,Urban,674
072211026,Santo Rosario (Pob.),Urban,914
072211027,Siocon,Rural,1285
072211028,Taytayan,Urban,3930
072211029,Sudlonon,Urban,896
