id,name,urban_rural,population
072205001,Alambijud,Rural,1514
072205002,Anajao,Rural,907
072205003,Apo,Rural,664
072205004,Balaas,Rural,985
072205005,Balisong,Rural,1944
072205006,Binlod,Rural,3343
072205007,Bogo,Rural,3505
072205008,Butong,Rural,924
072205009,Bug-ot,Rural,837
072205010,Bulasa,Rural,3523
072205012,Calagasan,Rural,875
072205013,Canbantug,Rural,843
072205014,Canbanua,Rural,2179
072205015,Cansuje,Rural,2206
072205016,Capio-an,Rural,1192
072205017,Casay,Rural,788
072205018,Catang,Rural,651
072205019,Colawin,Rural,943
072205020,Conalum,Rural,615
072205021,Guiwanon,Rural,1726
072205022,Gutlang,Rural,770
072205023,Jampang,Rural,2217
072205024,Jomgao,Rural,1102
072205025,Lamacan,Urban,2256
072205026,Langtad,Rural,2887
072205027,Langub,Rural,804
072205028,Lapay,Rural,677
072205029,Lengigon,Rural,989
072205030,Linut-od,Rural,1024
072205031,Mabasa,Rural,1281
072205032,Mandilikit,Rural,645
072205033,Mompeller,Rural,753
072205034,Panadtaran,Rural,524
072205035,Poblacion,Urban,5570
072205036,Sua,Rural,755
072205037,Sumaguan,Rural,883
072205038,Tabayag,Rural,999
072205039,Talaga,Urban,3485
072205040,Talaytay,Rural,1438
072205041,Talo-ot,Rural,3683
072205042,Tiguib,Rural,1202
072205043,Tulang,Rural,869
072205044,Tulic,Rural,2494
072205045,Ubaub,Rural,968
072205046,Usmad,Rural,1064
