id,name,urban_rural,population
099701002,Aguada,Urban, 5150 
099701004,Balatanay,Rural, 530 
099701005,Baluno,Urban, 2329 
099701006,Begang,Urban, 2729 
099701007,Binuangan,Rural, 1705 
099701008,Busay,Rural, 1387 
099701010,Cabunbata,Urban, 3054 
099701011,Calvario,Rural, 1348 
099701012,Carbon,Rural, 2574 
099701013,Diki,Rural, 3256 
099701014,Isabela Eastside (Pob.),Rural, 2967 
099701015,Isabela Proper (Pob.),Urban, 1040 
099701016,Dona Ramona T. Alano (Isabela Westsite),Rural, 980 
099701017,Kapatagan Grande,Rural, 877 
099701018,Kaumpurnah Zone I,Rural, 3167 
099701019,Kaumpurnah Zone II,Rural, 3100 
099701020,Kaumpurnah Zone III,Rural, 2234 
099701021,Kumalarang,Urban, 847 
099701022,La Piedad (Pob.),Urban, 2131 
099701023,Lampinigan,Rural, 1325 
099701024,Lanote,Rural, 3068 
099701027,Lukbuton,Rural, 1536 
099701029,Lumbang,Rural, 1746 
099701030,Makiri,Rural, 385 
099701031,Maligue (Lunot),Urban, 1928 
099701033,Marang-marang,Rural, 1465 
099701034,Marketsite (Pob.),Urban, 3577 
099701036,Menzi,Urban, 3823 
099701038,Panigayan,Rural, 2374 
099701039,Panunsulan,Rural, 1305 
099701040,Port Area (Pob.),Urban, 1125 
099701041,Riverside,Rural, 1912 
099701042,San Rafael,Rural, 4460 
099701043,Santa Barbara,Rural, 1203 
099701044,Santa Cruz (Pob.),Rural, 1139 
099701045,Seaside (Pob.),Rural, 603 
099701047,Sumagdang,Rural, 5963 
099701049,Sunrise Village (Pob.),Urban, 2873 
099701050,Tabiawan,Rural, 1522 
099701051,Tabuk (Pob.),Urban, 5346 
099701055,Timpul,Rural, 1101 
099701057,Kapayawan,Rural, 905 
099701058,Masula,Rural, 1430 
099701059,Small Kapatagan,Rural, 513 
099701060,Tampalan,Rural, 3825 
