id,name,urban_rural,population
042118001,Adlas,Rural,4956
042118003,Balite I,Rural,1834
042118004,Balite II,Rural,2239
042118005,Balubad,Rural,2844
042118006,Batas,Rural,3135
042118007,Biga I,Rural,5811
042118008,Biluso,Urban,3497
042118009,Buho,Rural,1827
042118010,Bucal,Rural,1378
042118011,Bulihan,Urban,21453
042118012,Cabangaan,Rural,1099
042118013,Carmen,Rural,1768
042118014,Hukay,Rural,1414
042118015,Iba,Rural,3875
042118016,Inchican,Rural,4284
042118017,Kalubkob,Rural,2247
042118018,Kaong,Rural,6767
042118019,Lalaan I,Rural,4271
042118020,Lalaan II,Rural,5089
042118021,Litlit,Rural,3101
042118022,Lucsuhin,Rural,2920
042118023,Lumil,Rural,3258
042118026,Maguyam,Rural,8482
042118027,Malabag,Rural,3375
042118028,Mataas Na Burol,Rural,794
042118029,Munting Ilog,Rural,2995
042118030,Paligawan,Rural,1157
042118031,Pasong Langka,Rural,2722
042118032,Barangay I (Pob.),Urban,933
042118033,Barangay II (Pob.),Urban,798
042118034,Barangay III (Pob.),Urban,328
042118035,Barangay IV (Pob.),Urban,712
042118036,Barangay V (Pob.),Urban,1900
042118037,Pooc I,Rural,1743
042118038,Pulong Bunga,Rural,2497
042118039,Pulong Saging,Rural,1362
042118040,Puting Kahoy,Rural,5838
042118041,Sabutan,Urban,4616
042118042,San Miguel I,Urban,1716
042118043,San Vicente I,Urban,1826
042118044,Santol,Rural,1470
042118045,Tartaria,Rural,11738
042118046,Tibig,Rural,3119
042118047,Tubuan I,Rural,2118
042118048,Ulat,Rural,1644
042118049,Acacia,Urban,7820
042118050,Anahaw I,Rural,4524
042118051,Ipil I,Rural,2657
042118052,Narra I,Urban,2822
042118053,Yakal,Rural,5896
042118054,Anahaw II,Urban,3351
042118055,Banaba,Urban,4760
042118056,Biga II,Rural,6161
042118057,Hoyo,Rural,746
042118058,Ipil II,Rural,3955
042118059,Malaking Tatyao,Rural,1365
042118060,Narra II,Urban,2110
042118061,Narra III,Urban,2912
042118062,Pooc II,Rural,1900
042118063,San Miguel II,Urban,3036
042118064,San Vicente II,Urban,3143
042118065,Toledo,Rural,1403
042118066,Tubuan II,Rural,961
042118067,Tubuan III,Rural,1018
