id,name,urban_rural,population
042113001,Caingin Pob. (Barangay 3),Rural,2526
042113002,Bucal I,Rural,3425
042113003,Bucal II,Rural,1298
042113004,Bucal III A,Rural,491
042113005,Bucal IV A,Rural,870
042113007,San Miguel I A (Caputatan),Rural,1109
042113008,Garita I A,Rural,1406
042113009,Mabato,Rural,1000
042113010,Talipusngo,Rural,1079
042113011,Pantihan I (Balayungan),Rural,1000
042113012,Pantihan II (Sagbat),Rural,974
042113013,Pantihan III (Pook na Munti),Rural,1392
042113014,Pantihan IV (Pook ni Sara),Rural,1733
042113015,Patungan,Rural,1658
042113016,Pinagsanhan I A,Rural,1136
042113018,Poblacion I A,Urban,576
042113019,Poblacion II A,Rural,669
042113020,Tulay Silangan,Rural,2187
042113021,Layong Mabilog,Rural,907
042113022,Bucal III B,Rural,703
042113023,Bucal IV B,Rural,768
042113024,Garita I B,Rural,1094
042113025,Pinagsanhan I B,Rural,3306
042113026,Poblacion I B,Rural,1361
042113027,Poblacion II B,Rural,375
042113028,San Miguel I B,Rural,1202
042113029,Tulay Kanluran,Rural,1044
