id,name,urban_rural,population
042117001,Silangan I,Urban,4727
042117002,Bagbag I,Urban,4972
042117003,Kanluran,Urban,3798
042117005,Ligtong I,Urban,4106
042117006,Ligtong II,Urban,2003
042117007,Muzon I,Urban,3017
042117008,Poblacion,Urban,1610
042117009,Sapa I,Urban,1583
042117010,Tejeros Convention,Urban,15013
042117011,Wawa I,Urban,4752
042117012,Ligtong III,Urban,5092
042117013,Bagbag II,Urban,5289
042117014,Ligtong IV,Urban,2876
042117015,Muzon II,Urban,2531
042117016,Sapa II,Urban,6676
042117017,Sapa III,Urban,3691
042117018,Sapa IV,Urban,965
042117019,Silangan II,Urban,3169
042117020,Wawa II,Urban,5471
042117021,Wawa III,Urban,10912
