id,name,urban_rural,population
045608001,Poblacion,Urban,6040 
045608002,Buenavista East,Rural,2206 
045608003,Buenavista West,Rural,3340 
045608004,Bukal Norte,Rural,2358 
045608005,Bukal Sur,Rural,6573 
045608006,Kinatihan I,Rural,1671 
045608007,Kinatihan II,Rural,1659 
045608008,Malabanban Norte,Urban,11446 
045608009,Malabanban Sur,Rural,7290 
045608010,Mangilag Norte,Rural,2114 
045608011,Mangilag Sur,Rural,5881 
045608012,Masalukot I,Rural,6025 
045608013,Masalukot II,Rural,2273 
045608014,Masalukot III,Rural,1026 
045608015,Masalukot IV,Rural,603 
045608016,Masin Norte,Rural,6357 
045608017,Masin Sur,Urban,5165 
045608018,Mayabobo,Rural,1814 
045608019,Pahinga Norte,Urban,12378 
045608020,Pahinga Sur,Urban,2517 
045608022,San Andres,Rural,4587 
045608023,San Isidro,Rural,4158 
045608024,Santa Catalina Norte,Rural,6135 
045608025,Santa Catalina Sur,Rural,6382 
045608026,Masalukot V,Rural,572 
