id,name,urban_rural,population
086020001,Alcazar,Rural,423
086020002,Awang,Rural,166
086020003,Bahay,Rural,642
086020004,Balonga-as,Rural,272
086020005,Balugo,Rural,521
086020007,Bangon Gote,Rural,138
086020008,Baras,Rural,293
086020009,Binalayan,Rural,237
086020010,Bisitahan,Rural,319
086020011,Bonga,Rural,905
086020013,Cabunga-an,Rural,688
086020014,Cagtutulo,Rural,688
086020018,Cambatutay Nuevo,Rural,201
086020019,Cambatutay Viejo,Rural,303
086020020,Canunghan,Rural,270
086020021,Catan-agan,Rural,120
086020022,Dapdap,Rural,862
086020023,Gallego,Rural,403
086020024,Imelda Pob. (Posgo),Rural,930
086020025,Lucerdoni (Irong-irong),Rural,608
086020026,Lahong,Rural,227
086020027,Libucan Dacu,Rural,777
086020028,Libucan Gote,Rural,414
086020029,Majacob,Rural,1457
086020030,Mancares,Rural,1178
086020031,Marabut,Rural,155
086020032,Oeste - A,Rural,855
086020033,Oeste - B,Rural,717
086020038,Pajo,Rural,239
086020039,Palencia,Rural,581
086020041,Poblacion A,Rural,975
086020042,Poblacion B,Rural,917
086020043,Poblacion C,Urban,239
086020044,Poblacion D,Rural,439
086020045,Poblacion E,Rural,728
086020047,San Vicente,Rural,885
086020048,Santa Cruz,Rural,649
086020049,Sugod,Rural,759
086020050,Talinga,Rural,472
086020051,Tigdaranao,Rural,2084
086020052,Tizon,Rural,410
