id,name,urban_rural,population
086006001,Arawane,Rural,326
086006002,Astorga,Rural,1982
086006003,Bachao,Rural,1567
086006004,Baclayan,Rural,598
086006005,Bagacay,Rural,1811
086006006,Bayog,Rural,185
086006007,Birawan,Rural,1018
086006008,Betaug,Rural,407
086006009,Bono-anon,Rural,341
086006010,Buenavista,Rural,606
086006011,Burgos,Rural,599
086006012,Cabac,Rural,587
086006013,Cabil-isan,Rural,294
086006014,Cabiton-an,Rural,1031
086006015,Cabugao,Rural,498
086006016,Calawan-an,Rural,1285
086006017,Cambuhay,Rural,470
086006018,Candugue,Rural,1118
086006019,Canloloy,Rural,222
086006020,Campelipa,Rural,641
086006021,Cansaganay,Rural,438
086006022,Poblacion 3 (Canti-il),Rural,764
086006023,Casab-ahan,Rural,1043
086006024,Guindapunan,Rural,549
086006025,Guintampilan,Rural,469
086006026,Iquiran,Rural,436
086006027,Jacopon,Rural,594
086006028,Losa,Rural,904
086006029,Mabini,Rural,662
086006030,Macalpe,Rural,365
086006031,Mandoyucan,Rural,420
086006032,Mongolbongol,Rural,726
086006033,Marupangdan,Rural,663
086006034,Mayabay,Rural,1085
086006035,Nipa,Rural,684
086006037,Parasan,Rural,529
086006038,Poblacion 1 (Hilaba),Urban,1125
086006039,Poblacion 2 (Malingon),Rural,1433
086006040,Pondang,Rural,865
086006041,Poso,Rural,612
086006042,Real,Rural,436
086006043,Rizal,Rural,1069
086006044,San Antonio,Rural,406
086006045,San Jose,Rural,749
086006046,San Miguel,Rural,488
086006047,San Roque,Rural,1106
086006048,Saugan,Rural,947
086006049,So-ong,Rural,461
086006050,Sua,Rural,1208
086006051,Talisay,Rural,245
086006052,Tugas,Rural,869
086006053,Ubo,Rural,721
086006054,Valles-Bello,Rural,792
086006055,Cagboboto,Rural,499
086006056,Lucob-lucob,Rural,238
086006057,San Vicente,Rural,542
086006058,Sugod,Rural,226
086006059,Yangta,Rural,368
