id,name,urban_rural,population
160201001,Abilan,Rural,2118
160201002,Agong-ong,Rural,1360
160201003,Alubijid,Rural,2970
160201004,Guinabsan,Rural,3456
160201007,Macalang,Rural,1728
160201008,Malapong,Rural,1651
160201009,Malpoc,Rural,1602
160201010,Manapa,Rural,4280
160201011,Matabao,Rural,3727
160201013,Poblacion 1,Rural,1939
160201014,Poblacion 2,Urban,1390
160201015,Poblacion 3,Urban,3402
160201016,Poblacion 4,Rural,1639
160201017,Poblacion 5,Rural,1052
160201018,Poblacion 6,Rural,1609
160201019,Poblacion 7,Urban,1099
160201020,Poblacion 8,Rural,1208
160201021,Poblacion 9,Urban,1505
160201022,Poblacion 10,Urban,2502
160201023,Rizal,Rural,2808
160201024,Sacol,Rural,2841
160201025,Sangay,Rural,3253
160201026,Talo-ao,Rural,1641
160201027,Lower Olave,Rural,1506
160201028,Simbalan,Rural,3853
