id,name,urban_rural,population
175305001,Bono-bono,Rural,2673
175305002,Bulalacao,Rural,1809
175305003,Buliluyan,Rural,1388
175305004,Culandanum,Rural,3839
175305005,Igang-igang,Rural,1404
175305006,Inogbong,Rural,3111
175305007,Iwahig,Rural,1787
175305008,Malihud,Rural,1966
175305009,Malitub,Rural,662
175305010,Marangas (Pob.),Urban,7613
175305011,Ocayan,Rural,2016
175305012,Puring,Rural,1143
175305013,Rio Tuba,Rural,16577
175305014,Sandoval,Rural,3044
175305015,Sapa,Rural,1454
175305016,Sarong,Rural,1461
175305017,Sumbiling,Rural,2670
175305018,Tabud,Rural,962
175305019,Tagnato,Rural,893
175305020,Tagolango,Rural,940
175305021,Taratak,Rural,1501
175305022,Tarusan,Rural,4731
