id,name,urban_rural,population
054118001,Altavista,Rural,534
054118002,Benitinan,Rural,680
054118003,Buenasuerte,Rural,634
054118004,Buenavista,Rural,640
054118005,Buenos Aires,Rural,746
054118006,Buyo,Rural,1078
054118007,Cañelas,Rural,670
054118008,Corbada,Rural,504
054118009,Daplian,Rural,796
054118010,Del Rosario,Rural,642
054118011,Ipil,Rural,491
054118012,Lahong,Rural,350
054118013,Lumbia,Rural,383
054118014,Magkaipit,Rural,233
054118015,Minio,Rural,738
054118016,Pinamoghaan,Rural,522
054118017,Baybaydagat Pob. (District 1),Urban,2050
054118018,Silangan Pob. (District 2),Urban,1819
054118019,Magsasaka Pob. (District 3),Rural,1292
054118020,Bayanihan Pob. (District 4),Urban,1665
054118021,Progreso,Rural,907
054118022,Resurreccion,Rural,1855
054118023,Salvacion,Rural,236
054118024,Sowa,Rural,511
054118025,Talisay,Rural,731
054118026,Valparaiso,Rural,602
