id,name,urban_rural,population
054112001,Bacolod,Rural,3489
054112002,Bangad,Rural,3802
054112003,Bara,Rural,2101
054112004,Bonbon,Rural,825
054112005,Calasuche,Rural,2609
054112006,Calumpang (Taisan),Rural,2164
054112007,Capaculan,Rural,1819
054112008,Cayabon,Rural,1980
054112009,Guinluthangan,Rural,874
054112010,Jamorawon,Rural,3338
054112011,Magsalangi,Rural,2409
054112012,Matagbac,Rural,1715
054112013,Matanglad,Rural,410
054112014,Matiporon,Rural,1092
054112015,Moises R. Espinosa,Rural,1107
054112016,Narangasan,Rural,2274
054112018,Pamangpangon,Rural,618
054112019,Poblacion East,Urban,2315
054112020,Poblacion West,Urban,4028
054112021,Paraiso (Potot),Rural,3301
054112022,San Antonio,Rural,1154
054112023,San Carlos,Rural,957
054112024,Sawmill,Rural,1438
054112025,Tagbon,Rural,1609
054112026,Tawad,Rural,1449
054112027,Tigbao,Rural,2688
054112028,Tinaclipan (Bato),Rural,1054
