id,name,urban_rural,population
103501001,Alegria,Rural,553
103501002,Babalaya,Rural,510
103501003,Babalayan Townsite,Rural,683
103501005,Binuni,Rural,1586
103501006,Demologan,Rural,1696
103501007,Dimarao,Rural,839
103501008,Esperanza,Rural,2201
103501009,Kahayag,Rural,730
103501010,Liangan East,Rural,1960
103501012,Punod (Maliwanag),Rural,662
103501013,Mati,Rural,511
103501016,Minaulon,Rural,719
103501017,Pagayawan,Rural,1247
103501018,Poblacion Bacolod,Urban,5766
103501019,Rupagan,Rural,1652
103501020,Delabayan West,Rural,503
