id,name,urban_rural,population
103506001,Bangaan,Rural,1750
103506002,Bangco,Rural,1059
103506003,Bansarvil II,Rural,1742
103506004,Bauyan,Rural,3838
103506005,Cabongbongan,Rural,430
103506006,Calibao,Rural,1348
103506007,Calipapa,Rural,377
103506008,Calube,Rural,635
103506009,Campo Islam,Rural,393
103506010,Capocao,Rural,265
103506011,Dabliston,Rural,1944
103506012,Dangulaan,Rural,2556
103506013,Ditago,Rural,752
103506014,Ilian,Rural,1703
103506015,Kauswagan,Rural,609
103506016,Kirapan,Rural,717
103506017,Koreo,Rural,1090
103506018,Lantawan,Rural,296
103506019,Mabuhay,Rural,542
103506020,Maguindanao,Rural,1394
103506021,Mahayahay,Rural,452
103506022,Mamagum,Rural,1077
103506023,Pandanan,Urban,2268
103506024,Payong,Rural,1430
103506025,Piraka,Rural,1455
103506026,Pikalawag,Urban,3096
103506027,Pikinit,Rural,1704
103506028,Poblacion,Urban,6887
103506029,Ramain,Rural,1954
103506030,Rebucon,Rural,926
103506031,Sigayan,Rural,1626
103506032,Sugod,Rural,764
103506033,Tagulo,Rural,1011
103506034,Tantaon,Rural,1688
103506035,Topocon (Capocgo),Rural,841
103506036,Dalama,Rural,1025
103506037,Mina,Rural,786
