id,name,urban_rural,population
103517001,Alowin,Rural,729
103517002,Bubong-Dinaig,Rural,918
103517003,Caromatan,Rural,1341
103517004,Daramba,Rural,1160
103517005,Dinaig,Rural,799
103517007,Cabasaran,Rural,801
103517008,Kablangan,Rural,617
103517009,Cadayonan,Rural,936
103517010,Linindingan,Rural,863
103517012,Lumbatan,Rural,874
103517013,Lupitan,Rural,705
103517014,Madamba,Rural,852
103517015,Madaya,Rural,1014
103517016,Maliwanag,Rural,1140
103517017,Nunang,Rural,940
103517018,Nunungan,Rural,706
103517019,Pantao Raya,Rural,1020
103517020,Pantaon,Rural,884
103517021,Pened,Rural,1077
103517022,Piangamangaan,Rural,759
103517023,Pendolonan,Rural,1007
103517024,Poblacion (Lumbacaingud),Rural,1243
103517025,Sulo,Rural,723
103517026,Tagoranao,Rural,709
103517027,Tangclao,Rural,804
103517028,Timbangalan,Rural,830
