id,name,urban_rural,population
153812001,Alamada,Rural,1260
153812003,Banatin,Rural,1252
153812004,Banubo,Rural,1585
153812006,Bulalo,Urban,4937
153812007,Bulibod,Rural,1915
153812009,Calsada,Rural,4103
153812010,Crossing Simuay,Urban,3829
153812012,Dalumangcob (Pob.),Urban,5745
153812013,Darapanan,Rural,1203
153812014,Gang,Rural,2807
153812015,Inawan,Rural,920
153812016,Kabuntalan,Rural,1174
153812017,Kakar,Rural,1466
153812018,Kapimpilan,Rural,1743
153812019,Katidtuan,Rural,3472
153812020,Katuli,Rural,5073
153812023,Ladia,Rural,1014
153812024,Limbo,Urban,4100
153812026,Maidapa,Rural,1497
153812027,Makaguiling,Rural,1779
153812028,Katamlangan (Matampay),Rural,1678
153812029,Matengen,Rural,1231
153812030,Mulaug,Rural,1212
153812031,Nalinan,Rural,1212
153812033,Nekitan,Rural,1243
153812034,Olas,Rural,752
153812035,Panatan,Rural,1710
153812036,Pigcalagan,Urban,2062
153812037,Pigkelegan (Ibotegen),Rural,3519
153812038,Pinaring,Rural,1945
153812039,Pingping,Rural,962
153812040,Raguisi,Rural,1577
153812041,Rebuken,Rural,2331
153812042,Salimbao,Urban,3819
153812043,Sambolawan,Rural,989
153812044,Senditan,Urban,1239
153812051,Ungap,Rural,1560
153812052,Damaniog,Rural,1328
153812053,Nara,Urban,1515
