id,name
153801000,AMPATUAN
153802000,BULDON
153803000,BULUAN
153805000,DATU PAGLAS
153806000,DATU PIANG
153807000,DATU ODIN SINSUAT (DINAIG)
153808000,SHARIFF AGUAK (MAGANOY) (Capital)
153809000,MATANOG
153810000,PAGALUNGAN
153811000,PARANG
153812000,SULTAN KUDARAT (NULING)
153813000,SULTAN SA BARONGIS (LAMBAYONG)
153814000,KABUNTALAN (TUMBAO)
153815000,UPI
153816000,TALAYAN
153817000,SOUTH UPI
153818000,BARIRA
153819000,GEN. S.K. PENDATUN
153820000,MAMASAPANO
153821000,TALITAY
153822000,PAGAGAWAN
153823000,PAGLAT
153824000,SULTAN MASTURA
153826000,DATU SAUDI-AMPATUAN
153827000,DATU UNSAY
153829000,RAJAH BUAYAN
153830000,DATU BLAH T. SINSUAT
153831000,DATU ANGGAL MIDTIMBANG
153832000,MANGUDADATU
153833000,PANDAG
153834000,NORTHERN KABUNTALAN
153835000,DATU HOFFER AMPATUAN
153836000,DATU SALIBO
153837000,SHARIFF SAYDONA MUSTAPHA
