id,name,urban_rural,population
097207002,Dipane,Rural, 1287 
097207003,Disakan,Rural, 1651 
097207004,Gupot,Rural, 989 
097207005,Libuton,Rural, 1451 
097207006,Linay,Rural, 1471 
097207007,Lupasang,Rural, 560 
097207010,Mate,Rural, 1249 
097207011,Poblacion,Urban, 4101 
097207013,Saluyong,Rural, 1230 
097207014,Serongan,Rural, 1450 
097207018,Villaramos,Rural, 1295 
097207019,Don Jose Aguirre,Rural, 3269 
097207020,Lingatongan,Rural, 750 
097207021,Meses,Rural, 954 
097207022,Palaranan,Rural, 874 
097207023,Pangandao,Rural, 1372 
097207024,Patagan,Rural, 1371 
097207025,San Antonio,Rural, 2153 
097207026,Upper Disakan,Rural, 1955 
097207027,East Poblacion,Rural, 2920 
097207028,Punta Blanca,Rural, 2169 
097207029,Suisayan,Rural, 1068 
