id,name,urban_rural,population
097202001,Cogon,Rural, 1430 
097202002,Dicayas,Rural, 6639 
097202003,Diwan,Rural, 3723 
097202004,Galas,Urban, 14713 
097202005,Gulayon,Rural, 8050 
097202006,Lugdungan,Rural, 2051 
097202007,Minaog,Rural, 7455 
097202008,Olingan,Rural, 11857 
097202009,Estaca (Pob.),Urban, 6997 
097202010,Biasong (Pob.),Rural, 3855 
097202011,Barra (Pob.),Urban, 3397 
097202012,Central (Pob.),Urban, 2242 
097202013,Miputak (Pob.),Urban, 9006 
097202014,Punta,Rural, 2637 
097202015,San Jose,Rural, 1012 
097202016,Sangkol,Rural, 1564 
097202017,Santa Filomena,Urban, 8049 
097202018,Sicayab,Rural, 7234 
097202019,Sinaman,Rural, 1928 
097202020,Turno,Rural, 9656 
097202021,Santa Isabel,Rural, 6965 
