id,name,urban_rural,population
097203001,Balok,Rural, 1113 
097203002,Basagan,Rural, 1048 
097203003,Biniray,Rural, 564 
097203004,Bulawan,Rural, 1663 
097203005,Daanglungsod,Rural, 1899 
097203006,Dabiak,Rural, 1627 
097203007,Dr. Jose Rizal (Lower Mias),Rural, 1136 
097203008,Fimagas,Rural, 1310 
097203009,Malugas,Rural, 1116 
097203010,Malasay,Rural, 1260 
097203011,Matam,Rural, 1292 
097203012,Mias,Rural, 1697 
097203013,Miatan,Rural, 977 
097203014,Nanginan,Rural, 1425 
097203016,Barangay Uno (Pob.),Urban, 2570 
097203017,Barangay Dos (Pob.),Rural, 2158 
097203018,San Antonio (Looy),Rural, 2356 
097203019,Seres,Rural, 2110 
097203020,Seroan,Rural, 1211 
097203021,Singatong,Rural, 1420 
097203022,Sinuyak,Rural, 1320 
097203023,Sitog,Rural, 3130 
097203024,Tuburan,Rural, 1568 
097203025,Carupay,Rural, 1447 
097203026,Loyuran,Rural, 787 
097203027,New Tambo,Rural, 1786 
097203028,Patik,Rural, 810 
097203029,Sanao,Rural, 857 
097203030,San Vicente,Rural, 1246 
097203031,Santo Niño,Rural, 436 
