id,name,urban_rural,population
097224001,Alegria,Rural, 1174 
097224002,Diangas,Rural, 390 
097224003,Diculom,Rural, 823 
097224004,Guimotan,Rural, 305 
097224005,Kauswagan,Rural, 1727 
097224006,Kilalaban,Rural, 1781 
097224007,Linay,Rural, 2177 
097224008,Lumay,Rural, 813 
097224009,Malinao,Rural, 1389 
097224010,Mamad,Rural, 2310 
097224011,Mamawan,Rural, 815 
097224012,Milidan,Rural, 1297 
097224013,Nonoyan,Rural, 1497 
097224014,Poblacion,Urban, 2042 
097224015,San Jose,Rural, 1200 
097224016,Tamao,Rural, 915 
097224017,Tan-awan,Rural, 535 
