id,name,urban_rural,population
101309001,Balangigay,Rural,989
101309002,Balukbukan,Rural,1592
101309003,Bershiba,Rural,884
101309004,Bobong,Rural,948
101309005,Bolocaon,Rural,656
101309006,Cabalantian,Rural,560
101309007,Calapaton,Rural,776
101309009,Sinaysayan (Dalurong),Rural,785
101309010,Kahusayan,Rural,1415
101309011,Kalumihan,Rural,474
101309012,Kauyonan,Rural,1118
101309013,Kimolong,Rural,948
101309014,Kitaihon,Rural,550
101309015,Kitobo,Rural,2371
101309019,Magsaysay,Rural,499
101309020,Malobalo,Rural,605
101309021,Metebagao,Rural,788
101309022,Sagundanon,Rural,1262
101309023,Pagan,Rural,1274
101309025,Panganan,Rural,1216
101309026,Poblacion,Urban,4927
101309028,San Isidro,Rural,1064
101309029,San Lorenzo,Rural,681
101309030,Santo Rosario,Rural,703
101309031,Sinuda (Simod),Rural,8725
101309032,Tandong,Rural,864
101309033,Tawas,Rural,2274
101309034,White Kulaman,Rural,2260
101309035,Napalico,Rural,587
101309037,Digongan,Rural,1505
101309038,Kiulom,Rural,626
101309039,Binoongan,Rural,506
101309040,Kipilas,Rural,1379
101309041,East Dalurong,Rural,1814
101309042,West Dalurong,Rural,1863
