id,name,urban_rural,population
104305001,Agusan,Urban,14812
104305002,Baikingon,Urban,2342
104305003,Bulua,Urban,31345
104305004,Balubal,Urban,2893
104305005,Balulang,Urban,32531
104305006,Barangay 10 (Pob.),Urban,616
104305007,Barangay 11 (Pob.),Urban,342
104305008,Barangay 12 (Pob.),Urban,469
104305009,Barangay 13 (Pob.),Urban,2330
104305010,Barangay 14 (Pob.),Urban,479
104305011,Barangay 15 (Pob.),Urban,2966
104305012,Barangay 16 (Pob.),Urban,143
104305013,Barangay 17 (Pob.),Urban,2342
104305014,Barangay 18 (Pob.),Urban,1496
104305015,Barangay 19 (Pob.),Urban,419
104305016,Barangay 2 (Pob.),Urban,84
104305017,Barangay 21 (Pob.),Urban,254
104305018,Barangay 22 (Pob.),Urban,1944
104305019,Barangay 23 (Pob.),Urban,916
104305020,Barangay 24 (Pob.),Urban,929
104305021,Barangay 26 (Pob.),Urban,2383
104305022,Barangay 27 (Pob.),Urban,1380
104305023,Barangay 28 (Pob.),Urban,541
104305024,Barangay 3 (Pob.),Urban,177
104305025,Barangay 30 (Pob.),Urban,875
104305026,Barangay 32 (Pob.),Urban,1410
104305027,Barangay 33 (Pob.),Urban,86
104305028,Barangay 34 (Pob.),Urban,621
104305029,Barangay 38 (Pob.),Urban,94
104305030,Barangay 39 (Pob.),Urban,46
104305031,Barangay 4 (Pob.),Urban,108
104305032,Barangay 40 (Pob.),Urban,830
104305033,Barangay 6 (Pob.),Urban,212
104305034,Barangay 8 (Pob.),Urban,157
104305035,Barangay 9 (Pob.),Urban,132
104305036,Barangay 5 (Pob.),Urban,83
104305037,Bayabas,Urban,12999
104305038,Bayanga,Urban,2769
104305039,Besigan,Urban,1404
104305040,Bonbon,Urban,9195
104305041,Bugo,Urban,27122
104305042,Camaman-an,Urban,24651
104305043,Canito-an,Urban,15069
104305044,Carmen,Urban,67583
104305045,Consolacion,Urban,9919
104305046,Cugman,Urban,20531
104305047,Dansolihon,Urban,4811
104305048,F. S. Catanico,Urban,1710
104305049,Gusa,Urban,26117
104305050,Indahag,Urban,6235
104305051,Iponan,Urban,20707
104305052,Kauswagan,Urban,34541
104305053,Lapasan,Urban,41903
104305054,Lumbia,Urban,14079
104305055,Macabalan,Urban,20303
104305056,Macasandig,Urban,23310
104305057,Mambuaya,Urban,2490
104305058,Nazareth,Urban,10658
104305059,Pagalungan,Urban,1806
104305060,Pagatpat,Urban,5178
104305061,Patag,Urban,17219
104305062,Pigsag-an,Urban,1256
104305063,Puerto,Urban,11475
104305064,Puntod,Urban,18399
104305065,San Simon,Urban,1346
104305067,Tablon,Urban,18608
104305068,Taglimao,Urban,1418
104305069,Tagpangi,Urban,2684
104305070,Tignapoloan,Urban,4514
104305071,Tuburan,Urban,1395
104305072,Tumpagon,Urban,2232
104305073,Barangay 1 (Pob.),Urban,453
104305074,Barangay 7 (Pob.),Urban,542
104305075,Barangay 20 (Pob.),Urban,121
104305076,Barangay 25 (Pob.),Urban,1295
104305077,Barangay 29 (Pob.),Urban,485
104305078,Barangay 31 (Pob.),Urban,1506
104305079,Barangay 35 (Pob.),Urban,2395
104305080,Barangay 36 (Pob.),Urban,791
104305081,Barangay 37 (Pob.),Urban,77
