id,name,urban_rural,population
086404001,Amaga,Rural,288
086404002,Ambao,Rural,862
086404003,An-an,Rural,557
086404004,Baculod,Rural,1007
086404005,Biasong,Rural,715
086404006,Bugho,Rural,886
086404007,Cabulisan,Rural,273
086404008,District I (Pob.),Urban,670
086404009,District II (Pob.),Urban,933
086404010,District III (Pob.),Urban,1043
086404011,Hubasan,Rural,550
086404012,Cat-iwing,Rural,382
086404013,Lungsodaan,Urban,1293
086404014,Navalita,Rural,612
086404015,Plaridel,Rural,340
086404016,Sabang,Rural,540
086404017,Sagbok,Rural,939
