id,name,urban_rural,population
060605001,Alegria,Rural,1719 
060605002,Bacong,Rural,636 
060605003,Banago,Rural,1123 
060605004,Bonbon,Rural,626 
060605005,Dawis,Rural,659 
060605006,Dionela,Rural,297 
060605007,Harigue,Rural,2691 
060605008,Hininga-an,Rural,1188 
060605009,Imba,Rural,1050 
060605010,Masanag,Rural,1044 
060605011,Poblacion,Urban,1677 
060605012,Sabang,Rural,735 
060605013,Salamento,Rural,1027 
060605014,Semirara,Urban,10129 
060605015,Sibato,Rural,1095 
060605016,Sibay,Rural,864 
060605017,Sibolo,Rural,1143 
060605018,Tinogboc,Rural,2343 
