id,name,urban_rural,population
060614001,Agricula,Rural,494 
060614002,Alegria,Rural,422 
060614003,Aningalan,Rural,511 
060614004,Atabay,Rural,175 
060614005,Bagumbayan,Rural,484 
060614006,Baladjay,Rural,1100 
060614007,Banbanan,Rural,265 
060614008,Barangbang,Rural,1150 
060614009,Bawang,Rural,441 
060614010,Bugo,Rural,1586 
060614011,Bulan-bulan,Rural,541 
060614012,Cabiawan,Rural,449 
060614013,Cabunga-an,Rural,450 
060614014,Cadolonan,Rural,883 
060614015,Poblacion (Calag-itan),Urban,1670 
060614016,Carawisan I,Rural,514 
060614017,Carawisan II,Rural,514 
060614018,Carmelo I,Rural,419 
060614019,Carmelo II,Rural,370 
060614020,General Fullon,Rural,613 
060614021,General Luna,Rural,603 
060614022,Orquia (Igcatumbal),Rural,207 
060614023,Iguirindon,Rural,1064 
060614024,Insubuan,Rural,280 
060614025,La Union,Rural,504 
060614026,Lapak,Rural,425 
060614027,Lumpatan,Rural,602 
060614028,Magdalena,Rural,615 
060614029,Maragubdub,Rural,678 
060614030,Nagbangi I (Amatong),Rural,700 
060614031,Nagbangi II,Rural,484 
060614033,Nasuli,Rural,473 
060614034,Osorio I,Rural,717 
060614035,Osorio II,Rural,843 
060614036,Panpanan I,Rural,1350 
060614037,Panpanan II,Rural,494 
060614039,Ramon Magsaysay,Rural,647 
060614040,Rizal,Rural,273 
060614041,San Rafael,Rural,1187 
060614042,Sinundolan,Rural,1856 
060614043,Sumaray,Rural,345 
060614044,Trinidad,Rural,1056 
060614045,Tubudan,Rural,459 
060614046,Vilvar,Rural,446 
060614047,Walker,Rural,1087 
