id,name,urban_rural,population
035404001,Balas,Rural, 218 
035404002,Cabalantian,Rural, 3164 
035404003,Cabambangan (Pob.),Urban, 656 
035404004,Cabetican,Rural, 3005 
035404005,Calibutbut,Urban, 9320 
035404006,Concepcion,Rural, 118 
035404007,Dolores,Rural, 412 
035404008,Duat,Rural, 324 
035404009,Macabacle,Rural, 808 
035404010,Magliman,Rural, 2120 
035404011,Maliwalu,Rural, 1013 
035404012,Mesalipit,Rural, 122 
035404013,Parulog,Rural, 696 
035404015,Potrero,Rural, 139 
035404016,San Antonio,Rural, 396 
035404018,San Isidro,Rural, 5041 
035404019,San Vicente,Urban, 1796 
035404020,Santa Barbara,Rural, 791 
035404021,Santa Ines,Urban, 784 
035404023,Talba,Rural, 36 
035404024,Tinajero,Rural, 549 
