id,name,urban_rural,population
035410001,Batasan,Rural, 4197 
035410002,Caduang Tete,Rural, 6039 
035410003,Candelaria,Rural, 2757 
035410004,Castuli,Rural, 1136 
035410005,Consuelo,Rural, 2306 
035410006,Dalayap,Rural, 2207 
035410007,Mataguiti,Rural, 643 
035410008,San Esteban,Rural, 4183 
035410009,San Francisco,Rural, 1799 
035410010,San Gabriel (Pob.),Urban, 3688 
035410011,San Isidro,Rural, 1856 
035410012,San Jose,Rural, 3569 
035410013,San Juan,Rural, 2491 
035410014,San Rafael,Rural, 3172 
035410015,San Roque,Rural, 4025 
035410016,San Vicente,Rural, 2628 
035410017,Santa Cruz (Pob.),Urban, 1160 
035410018,Santa Lutgarda,Rural, 1064 
035410019,Santa Maria,Rural, 5453 
035410020,Santa Rita (Pob.),Urban, 3450 
035410021,Santo Niño,Rural, 2397 
035410022,Santo Rosario (Pob.),Urban, 2932 
035410023,Saplad David,Rural, 1499 
035410024,Tacasan,Rural, 2321 
035410025,Telacsan,Rural, 3805 
