id,name,urban_rural,population
035414001,Bulac,Rural, 867 
035414002,Dawe,Rural, 1203 
035414003,Lourdes,Rural, 5127 
035414004,Maniango,Rural, 1840 
035414006,San Francisco 1st,Rural, 1746 
035414007,San Francisco 2nd,Rural, 1119 
035414008,San Isidro,Rural, 4178 
035414009,San Nicolas (Pob.),Urban, 2975 
035414010,San Pedro,Rural, 2607 
035414011,Santa Catalina,Rural, 1840 
035414012,Santa Maria,Rural, 6362 
035414013,Santa Rita,Urban, 4440 
035414014,Santo Domingo,Urban, 5098 
035414015,Santo Rosario (Pob.),Urban, 3066 
035414016,Saplad,Rural, 1533 
