id,name,urban_rural,population
175902001,Balogo,Rural,438
175902002,Banice,Rural,421
175902004,Hambi-an,Rural,285
175902005,Lagang,Rural,85
175902006,Libtong,Rural,248
175902007,Mainit,Rural,390
175902008,Nabalay,Rural,132
175902009,Nasunogan,Rural,340
175902010,Poblacion,Urban,1142
175902011,Sibay,Rural,304
175902012,Tan-Ag,Rural,357
175902013,Toctoc,Rural,197
175902014,Togbongan,Rural,155
175902015,Togong,Rural,386
175902016,Tungonan,Rural,334
175902017,Tumalum,Rural,361
175902018,Yabawon,Rural,388
