id,name,urban_rural,population
063038001,Agdaliran,Rural,1100 
063038002,Amayong,Rural,548 
063038003,Bagacay,Rural,1986 
063038004,Batuan,Rural,469 
063038005,Bondulan,Rural,1378 
063038006,Boroñgon,Rural,799 
063038007,Canas,Rural,991 
063038008,Capinang,Rural,879 
063038009,Cubay,Rural,1257 
063038010,Cudionan,Rural,1395 
063038011,Dugman,Rural,1102 
063038012,Hacienda Conchita,Rural,1056 
063038013,Madanlog,Rural,917 
063038014,Mandu-awak,Rural,2039 
063038015,Moto,Rural,496 
063038016,Naborot,Rural,197 
063038017,Nipa,Rural,423 
063038018,Odiongan,Rural,1098 
063038019,Pangi,Rural,1630 
063038020,Pase,Rural,953 
063038021,Poblacion,Urban,3209 
063038022,San Nicolas,Rural,590 
063038024,Santol,Rural,723 
063038025,Siempreviva,Rural,2147 
063038026,Sua,Rural,1211 
063038027,Talo-ato,Rural,967 
063038028,Tamangi,Rural,840 
063038029,Tiabas,Rural,1774 
063038030,Tuble,Rural,1476 
