id,name,urban_rural,population
050517001,Agnas (San Miguel Island),Rural,1290 
050517002,Bacolod,Urban,1893 
050517003,Bangkilingan,Urban,4285 
050517004,Bantayan,Rural,1498 
050517005,Baranghawon,Urban,4345 
050517006,Basagan,Rural,1085 
050517007,Basud (Pob.),Urban,2460 
050517008,Bogñabong,Rural,2485 
050517009,Bombon (Pob.),Urban,2055 
050517010,Bonot,Rural,994 
050517011,San Isidro (Boring),Rural,1183 
050517012,Buang,Rural,2802 
050517013,Buhian,Rural,1330 
050517014,Cabagñan,Rural,1929 
050517015,Cobo,Urban,3219 
050517016,Comon,Rural,2221 
050517017,Cormidal,Urban,2108 
050517018,Divino Rostro (Pob.),Urban,1429 
050517019,Fatima,Rural,3830 
050517020,Guinobat,Rural,1812 
050517021,Hacienda (San Miguel Island),Rural,5367 
050517022,Magapo,Rural,1013 
050517023,Mariroc,Rural,4778 
050517024,Matagbac,Rural,4523 
050517025,Oras,Rural,1325 
050517026,Oson,Rural,1075 
050517027,Panal,Urban,3280 
050517029,Pawa,Urban,3791 
050517030,Pinagbobong,Rural,2784 
050517031,Quinale Cabasan (Pob.),Urban,1511 
050517032,Quinastillojan,Rural,1555 
050517033,Rawis (San Miguel Island),Rural,1446 
050517034,Sagurong (San Miguel Island),Rural,2893 
050517035,Salvacion,Urban,2059 
050517036,San Antonio,Rural,5138 
050517037,San Carlos,Urban,3538 
050517038,San Juan (Pob.),Urban,1366 
050517039,San Lorenzo,Urban,6920 
050517040,San Ramon,Rural,3204 
050517041,San Roque,Urban,4945 
050517042,San Vicente,Rural,3549 
050517044,Santo Cristo (Pob.),Urban,5443 
050517045,Sua-Igot,Rural,1056 
050517046,Tabiguian,Rural,1441 
050517048,Tagas,Urban,2215 
050517049,Tayhi (Pob.),Urban,3068 
050517050,Visita (San Miguel Island),Rural,1547 
