id,name,urban_rural,population
050518001,Bagumbayan,Rural,2148 
050518002,Bariis,Rural,921 
050518003,Baybay,Rural,2207 
050518004,Belen (Malabog),Rural,1273 
050518005,Biyong,Rural,1543 
050518006,Bolo,Rural,1173 
050518007,Cale,Rural,5245 
050518008,Cararayan,Rural,2011 
050518009,Coro-coro,Rural,1587 
050518010,Dap-dap,Rural,765 
050518011,Gajo,Rural,1489 
050518012,Joroan,Rural,2667 
050518013,Libjo,Rural,2624 
050518014,Libtong,Rural,2253 
050518017,Matalibong,Rural,1290 
050518018,Maynonong,Rural,674 
050518019,Mayong,Rural,1660 
050518020,Misibis,Rural,2064 
050518021,Naga,Rural,4614 
050518023,Nagas,Rural,2925 
050518024,Oyama,Rural,1208 
050518025,Putsan,Rural,1186 
050518026,San Bernardo,Rural,1530 
050518027,Sogod,Rural,1993 
050518028,Tigbi (Pob.),Urban,3113 
