id,name,urban_rural,population
112406001,Abnate,Rural,551
112406002,Bagong Negros,Rural,1640
112406003,Bagong Silang,Rural,328
112406004,Bagumbayan,Rural,1418
112406005,Balasiao,Rural,2776
112406007,Bonifacio,Rural,1356
112406008,Bunot,Rural,1382
112406009,Cogon-Bacaca,Rural,2138
112406010,Dapok,Rural,833
112406011,Ihan,Rural,3098
112406012,Kibongbong,Rural,216
112406013,Kimlawis,Rural,4512
112406015,Kisulan,Rural,1592
112406016,Lati-an,Rural,1474
112406017,Manual,Rural,1053
112406018,Maraga-a,Rural,1173
112406019,Molopolo,Rural,896
112406020,New Sibonga,Rural,987
112406021,Panaglib,Rural,1642
112406022,Pasig,Rural,989
112406023,Poblacion,Urban,4349
112406024,Pocaleel,Rural,664
112406025,San Isidro,Rural,703
112406026,San Jose,Rural,1690
112406027,San Pedro,Rural,1078
112406028,Santo Niño,Rural,1023
112406029,Tacub,Rural,2206
112406030,Tacul,Rural,460
112406031,Waterfall,Rural,673
112406032,Bulol-Salo,Rural,1718
